Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen
11019.0,Safeway - Loveland #914,Starbucks,74341-82292,970-669-1342,LS,2321 W Eisenhower Blvd,2321 W Eisenhower Blvd,,,Loveland,CO,US,805373151,"(40.408504486084, -105.109588623047)",40.408504486083984,-105.10958862304688,Mountain Standard Time,-360.0,GMT-07:00 America/Denver,2013-12-08 22:41:59
12244.0,Target Waxahachie T-1962,Starbucks,76322-95724,972-923-8930,LS,1316 N Hwy 77,1316 N Hwy 77,,,Waxahachie,TX,US,751655116,"(32.4218368530273, -96.8379287719727)",32.421836853027344,-96.83792877197266,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
9860.0,Coconut Point,Starbucks,9752-96115,239-495-8407,CO,8076 Mediterranean Dr Suite 111,8076 Mediterranean Dr Suite 111,,,Estero,FL,US,339288304,"(26.404167175293, -81.8087692260742)",26.40416717529297,-81.80876922607422,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
13059.0,Lake City Way & 120th,Starbucks,3402-78202,206-364-2490,CO,12001 Lake City Way NE,12001 Lake City Way NE,,,Seattle,WA,US,981255331,"(47.7159843444824, -122.297561645508)",47.71598434448242,-122.29756164550781,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
12331.0,Target Dayton T-1940,Starbucks,76287-91920,937-439-9301,LS,4341 Feedwire Rd,4341 Feedwire Rd,,,Dayton,OH,US,454403970,"(39.6585960388184, -84.1046905517578)",39.65859603881836,-84.10469055175781,Eastern Standard Time,-240.0,GMT-05:00 America/New_York,2013-12-08 22:41:59
8816.0,San Dimas,Starbucks,5317-861,(909) 599-7338,CO,942 W. Arrow Highway,942 W. Arrow Highway,,,San Dimas,CA,US,917732419,"(34.1064376831055, -117.826072692871)",34.10643768310547,-117.8260726928711,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
11679.0,Alderwood Mall,Starbucks,328-2141,425-771-0878,CO,"3000 184th St SW, #368",3000 184th St SW,#368,,Lynnwood,WA,US,980374740,"(47.830135345459, -122.271255493164)",47.830135345458984,-122.27125549316406,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
8468.0,Safeway - Santa Rosa #713,Starbucks,74855-73627,707-539-1771,LS,100 Calistoga Rd,100 Calistoga Rd,,,Santa Rosa,CA,US,954093702,"(38.4659156799316, -122.65291595459)",38.46591567993164,-122.65291595458984,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
13144.0,"ORD OHare Terminal 3, Food Court",Starbucks,72326-5711,773-686-6181,LS,"CircularBuilding #6, Guard Post 8, Circular Building 6",CircularBuilding #6,Guard Post 8,Circular Building 6,Chicago,IL,US,60666,"(41.9768943786621, -87.9009857177734)",41.97689437866211,-87.90098571777344,Central Standard Time,-300.0,GMT-06:00 America/Chicago,2013-12-08 22:41:59
13291.0,Albertsons-Blythe #6587,Starbucks,73575-80150,760-922-4099,LS,840 E Hobson Way,840 E Hobson Way,,,Blythe,CA,US,922251800,"(33.6092224121094, -114.587242126465)",33.609222412109375,-114.58724212646484,Pacific Standard Time,-420.0,GMT-08:00 America/Los_Angeles,2013-12-08 22:41:59
